"","Sample_ID","Sample_Name2","Description","Sample_Project","Description2","Primer","sample_nc","new_name"
"S057","NOV-001-S057","S057","Mu9459F_OP01","Cetacea_eDNA","OP01","Mu9459F_Mu9822R","sample","SaiKung_Surface"
"S058","NOV-001-S058","S058","Mu9459F_OP02","Cetacea_eDNA","OP02","Mu9459F_Mu9822R","sample","SaiKung_Subsurface"
"S059","NOV-001-S059","S059","Mu9459F_OP03_nc","Cetacea_eDNA","OP03_nc","Mu9459F_Mu9822R","nc","NC_OPField"
"S060","NOV-001-S060","S060","Mu9459F_DNAex_nc01","Cetacea_eDNA","DNAex_nc01","Mu9459F_Mu9822R","nc","NC_DNAext1"
"S061","NOV-001-S061","S061","Mu9459F_DNAex_nc02","Cetacea_eDNA","DNAex_nc02","Mu9459F_Mu9822R","nc","NC_DNAext2"
"S062","NOV-001-S062","S062","Mu9459F_BT2","Cetacea_eDNA","BT2","Mu9459F_Mu9822R","sample","St_PM15"
"S063","NOV-001-S063","S063","Mu9459F_PCR_nc01","Cetacea_eDNA","PCR_nc01","Mu9459F_Mu9822R","nc","NC_PCR1"
"S064","NOV-001-S064","S064","Mu9459F_PCR_nc02","Cetacea_eDNA","PCR_nc02","Mu9459F_Mu9822R","nc","NC_PCR2"
"R001","OCI-004-R001","R001","MiMam_Ch01-02","Cetacea_eDNA","Ch01-02","MiMammalF-R","sample","Lagoon_main"
"R002","OCI-004-R002","R002","MiMam_Ch03","Cetacea_eDNA","Ch03","MiMammalF-R","sample","Lagoon_north"
"R003","OCI-004-R003","R003","MiMam_Ch04","Cetacea_eDNA","Ch04","MiMammalF-R","sample","Lagoon_south"
"R004","OCI-004-R004","R004","MiMam_Ch05","Cetacea_eDNA","Ch05","MiMammalF-R","sample","Reproduction_pool"
"R005","OCI-004-R005","R005","MiMam_Ch06-07","Cetacea_eDNA","Ch06-07","MiMammalF-R","sample","Main_pool"
"R006","OCI-004-R006","R006","MiMam_Ch08","Cetacea_eDNA","Ch08","MiMammalF-R","sample","Show_pool"
"R007","OCI-004-R007","R007","MiMam_Ch09","Cetacea_eDNA","Ch09","MiMammalF-R","sample","MedicalTrt_pool"
"R008","OCI-004-R008","R008","MiMam_OP01","Cetacea_eDNA","OP01","MiMammalF-R","sample","SaiKung_Surface"
"R009","OCI-004-R009","R009","MiMam_OP02","Cetacea_eDNA","OP02","MiMammalF-R","sample","SaiKung_Subsurface"
"R010","OCI-004-R010","R010","MiMam_BT2","Cetacea_eDNA","BT2","MiMammalF-R","sample","St_PM15"
"R011","OCI-004-R011","R011","MiMam_PCR_nc01","Cetacea_eDNA","PCR_nc01","MiMammalF-R","nc","NC_PCR1"
"R012","OCI-004-R012","R012","MiMam_PCR_nc02","Cetacea_eDNA","PCR_nc02","MiMammalF-R","nc","NC_PCR2"
"R013","OCI-004-R013","R013","Ceto2_Ch01-02","Cetacea_eDNA","Ch01-02","Ceto2F-R","sample","Lagoon_main"
"R014","OCI-004-R014","R014","Ceto2_Ch03","Cetacea_eDNA","Ch03","Ceto2F-R","sample","Lagoon_north"
"R015","OCI-004-R015","R015","Ceto2_Ch04","Cetacea_eDNA","Ch04","Ceto2F-R","sample","Lagoon_south"
"R016","OCI-004-R016","R016","Ceto2_Ch05","Cetacea_eDNA","Ch05","Ceto2F-R","sample","Reproduction_pool"
"R017","OCI-004-R017","R017","Ceto2_Ch06-07","Cetacea_eDNA","Ch06-07","Ceto2F-R","sample","Main_pool"
"R018","OCI-004-R018","R018","Ceto2_Ch08","Cetacea_eDNA","Ch08","Ceto2F-R","sample","Show_pool"
"R019","OCI-004-R019","R019","Ceto2_Ch09","Cetacea_eDNA","Ch09","Ceto2F-R","sample","MedicalTrt_pool"
"R020","OCI-004-R020","R020","Ceto2_OP01","Cetacea_eDNA","OP01","Ceto2F-R","sample","SaiKung_Surface"
"R021","OCI-004-R021","R021","Ceto2_OP02","Cetacea_eDNA","OP02","Ceto2F-R","sample","SaiKung_Subsurface"
"R022","OCI-004-R022","R022","Ceto2_BT2","Cetacea_eDNA","BT2","Ceto2F-R","sample","St_PM15"
"R023","OCI-004-R023","R023","Ceto2_PCR_nc01","Cetacea_eDNA","PCR_nc01","Ceto2F-R","nc","NC_PCR1"
"R024","OCI-004-R024","R024","Ceto2_PCR_nc02","Cetacea_eDNA","PCR_nc02","Ceto2F-R","nc","NC_PCR2"
