"","P1_ASV00001","P1_ASV00002","P1_ASV00003","P1_ASV00004","P1_ASV00005","P1_ASV00006","P1_ASV00007","P1_ASV00008","P1_ASV00009","P1_ASV00010","P1_ASV00011","P1_ASV00012","P1_ASV00013","P1_ASV00015","P1_ASV00019","P2_ASV00001","P2_ASV00002","P2_ASV00003","P2_ASV00004","P2_ASV00005","P2_ASV00006","P2_ASV00008","P2_ASV00009","P2_ASV00010","P2_ASV00011","P2_ASV00013","P2_ASV00014","P2_ASV00015","P2_ASV00018","P3_ASV00001","P3_ASV00002","P3_ASV00003","P3_ASV00005","P3_ASV00009","P3_ASV00010","P3_ASV00011","P3_ASV00013","P3_ASV00014","P3_ASV00015","P3_ASV00016","P3_ASV00018","P3_ASV00019","P3_ASV00020","P3_ASV00021","P3_ASV00022","P3_ASV00023","P3_ASV00024","P3_ASV00025","P4_ASV00001","P4_ASV00002","P4_ASV00003","P4_ASV00004","P4_ASV00005","P4_ASV00006","P4_ASV00007","P4_ASV00008","P4_ASV00009","P4_ASV00010","P4_ASV00011","P4_ASV00012","P4_ASV00013","P5_ASV00002","P5_ASV00003","P5_ASV00004","P5_ASV00005","P5_ASV00006","P5_ASV00007","P5_ASV00008","P5_ASV00009","P5_ASV00010","P5_ASV00011","P5_ASV00012","P5_ASV00013","P5_ASV00014","P5_ASV00015","P5_ASV00020","P6_ASV00001","P6_ASV00002","P6_ASV00003","P6_ASV00004","P6_ASV00027","P6_ASV00037","P6_ASV00041"
"S039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963296301504711,0.00682041906904795,0.970468288567009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703135986499789,0.00604696948389819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506081946222791,0,0.327144686299616,0,0,0,0.0158450704225352,0.150928297055058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926258992805755,0,0.0953237410071942,0.725719424460432,0,0,0.0188848920863309,0.00719424460431655,0.0152877697841727,0.0197841726618705,0.00989208633093525,0,0.0152877697841727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116016272412234,0,0.762241976796746,0,0,0,0.12174175079102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972893577246628,0,0,0,0,0,0,0,0,0,0,0.0271064227533716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949306607621489,0,0,0,0,0,0.0506933923785107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712701932214127,0.610072853975293,0.318656952803294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99347471451876,0,0,0.0065252854812398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464703696823333,0,0,0.131525171837265,0.18883522199517,0.107932379713914,0.00798811071892996,0.0564740850826676,0.0195058517555267,0,0,0.00798811071892996,0.00687349061861415,0.00817388073564927,0,0,0,0,0,0,0,0
"R002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593849416755037,0.916967126193001,0,0,0,0,0.023541887592789,0,0.0193001060445387,0,0,0.0135737009544009,0.02067868504772,0,0,0,0,0,0,0,0,0
"R003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912374236821739,0,0,0.602115401152292,0.143692492905667,0.126236133803422,0,0.0277753891134233,0,0,0,0.00894315934302176,0,0,0,0,0,0,0,0,0,0
"R004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744655903310183,0,0,0.0361684856137819,0.12023090105529,0.0570938937494363,0,0.0418508162713087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85823754789272,0,0,0.00660919540229885,0.0431034482758621,0.0176245210727969,0.0126436781609195,0.0172413793103448,0.028639846743295,0,0,0,0,0.0159003831417625,0,0,0,0,0,0,0,0
"R006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663473552686381,0,0,0,0,0.160245730945439,0,0,0.0919408579758434,0.0843398583923365,0,0,0,0,0,0,0,0,0,0,0
"R007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992810214453948,0,0,0,0,0,0,0,0,0,0,0,0.00718978554605182,0,0,0,0,0,0,0
"R013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384922394678492,0.615077605321508,0,0,0,0,0
"R014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94888023369036,0.0444808356200761,0,0,0,0,0.0066389306895636
"R015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711255493980508,0.288744506019492,0,0,0,0,0
"R016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215802314065557,0.784197685934443,0,0,0,0,0
"R017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991674100505501,0.90083258994945,0,0,0,0,0
"R018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621201383072396,0,0,0.356978717007066,0.0152911109679359,0.00652878895260185,0
"R019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017280714528421,0.00700613238839539,0.961927414526803,0.0137857385563808,0,0,0
